,Image Name,Prediction
79,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191659.wav at 1.671731.png,1
80,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191354.wav at 4.477422.png,0
81,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 4.156631.png,1
82,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 11.040128.png,1
83,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191408.wav at 7.026833.png,1
84,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191529.wav at 7.037406.png,2
85,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 8.214367999999999.png,1
86,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 5.292412000000001.png,1
87,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 3.253943.png,1
88,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_201257.wav at 7.344639.png,1
89,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221714.wav at 4.421232.png,1
90,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223411.wav at 7.044169.png,1
91,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200634.wav at 5.14755.png,1
92,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 12.000514.png,3
93,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 4.5663849999999995.png,1
94,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190818.wav at 3.9105879999999997.png,1
95,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221742.wav at 3.616939.png,3
96,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213127.wav at 5.10379.png,1
97,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 2.9737669999999996.png,4
98,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190625.wav at 2.48038.png,1
99,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191432.wav at 3.9698309999999997.png,1
100,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 2.637178.png,2
101,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_222030.wav at 5.828949.png,1
102,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191529.wav at 9.67736.png,0
103,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 6.436354.png,1
104,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183728.wav at 5.683559.png,3
105,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191659.wav at 3.4713800000000004.png,3
106,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191319.wav at 7.457475.png,1
107,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190625.wav at 0.48776400000000003.png,1
108,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223411.wav at 4.9645790000000005.png,1
109,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 2.620443.png,1
110,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 4.172837.png,1
111,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213127.wav at 4.170314.png,1
112,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_185242.wav at 0.861842.png,1
113,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 6.701042.png,1
114,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 7.027819999999999.png,1
115,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_190644.wav at 2.827958.png,2
116,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 4.902223.png,1
117,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_201257.wav at 9.67659.png,1
118,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_185242.wav at 3.154841.png,1
119,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223120.wav at 11.092027.png,1
120,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 5.771868.png,1
121,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 3.2281299999999997.png,1
122,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 3.6368379999999996.png,1
123,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224122.wav at 2.08543.png,1
124,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215105.wav at 2.101538.png,1
125,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183728.wav at 1.0685850000000001.png,1
126,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_190644.wav at 7.595173.png,1
127,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 6.519606.png,1
128,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 2.8373209999999998.png,1
129,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200726.wav at 3.3937190000000004.png,1
130,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 11.553734.png,3
131,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184907.wav at 4.663727.png,3
132,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 5.3337699999999995.png,1
133,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 9.357510000000001.png,3
134,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224122.wav at 2.57381.png,1
135,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 8.555981.png,1
136,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_210906.wav at 5.086911.png,2
137,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 2.10886.png,1
138,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 10.303842999999999.png,1
139,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191133.wav at 2.526553.png,1
140,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213743.wav at 3.9246589999999997.png,1
141,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_190644.wav at 6.886201.png,4
142,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 2.267855.png,2
143,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221556.wav at 0.348817.png,3
144,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 6.958525.png,1
145,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 6.781406.png,1
146,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190818.wav at 5.314405000000001.png,1
147,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 6.481242.png,1
148,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190818.wav at 3.665857.png,1
149,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221714.wav at 6.406192.png,1
150,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191354.wav at 4.081564.png,2
151,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183728.wav at 6.636067.png,1
152,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 7.086651.png,1
153,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 1.9297400000000002.png,2
154,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 9.837717.png,3
155,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_203511.wav at 3.089363.png,1
156,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221742.wav at 7.652145.png,1
157,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202455.wav at 2.558792.png,1
158,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_204517.wav at 5.413051.png,1
159,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 5.100382.png,1
160,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221714.wav at 1.9241080000000002.png,1
161,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 7.653239999999999.png,1
